epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,157.623,0.89427,0.70512,1.10707,0.86412,0.90456,0.92406,0.62486,1.02185,0.77165,1.3259,0.000792325,0.000792325,0.000792325
55,160.596,0.8789,0.72511,1.14136,0.90522,0.93517,0.96006,0.60506,1.10545,0.81011,1.41998,0.000775822,0.000775822,0.000775822
56,163.541,0.93632,0.69119,1.11393,0.88778,0.9678,0.97127,0.64009,1.14126,0.78743,1.4876,0.000759318,0.000759318,0.000759318
57,166.528,0.84642,0.69406,1.10831,0.88778,0.9678,0.97127,0.64009,1.14126,0.78743,1.4876,0.000742815,0.000742815,0.000742815
58,169.498,0.91468,0.71286,1.11048,0.88485,0.97497,0.96162,0.65145,1.14983,0.79226,1.5186,0.000726312,0.000726312,0.000726312
59,172.524,0.84524,0.62594,1.05308,0.90434,0.93756,0.96132,0.64474,1.14889,0.78559,1.55491,0.000709809,0.000709809,0.000709809
60,175.508,0.87902,0.68251,1.14437,0.83892,0.958,0.95607,0.6359,1.19725,0.7611,1.56364,0.000693305,0.000693305,0.000693305
61,178.532,0.85955,0.66389,1.10288,0.79902,0.94824,0.94417,0.60709,1.17933,0.75206,1.46968,0.000676802,0.000676802,0.000676802
62,181.557,0.76792,0.60628,1.0474,0.79497,0.91667,0.93511,0.61151,1.24408,0.78332,1.56046,0.000660299,0.000660299,0.000660299
63,184.531,0.8477,0.64487,1.114,0.79497,0.91667,0.93511,0.61151,1.24408,0.78332,1.56046,0.000643795,0.000643795,0.000643795
64,187.58,0.89951,0.66746,1.10532,0.76311,0.95478,0.92101,0.64345,1.1736,0.83533,1.53111,0.000627292,0.000627292,0.000627292
65,190.54,0.81842,0.63593,1.08342,0.78654,0.95833,0.89734,0.65147,1.03162,0.81631,1.38847,0.000610789,0.000610789,0.000610789
66,193.585,0.82574,0.63234,1.0358,0.72701,0.94671,0.89211,0.64301,1.03663,0.83253,1.39121,0.000594286,0.000594286,0.000594286
67,196.629,0.82611,0.62354,1.08497,0.76007,0.95291,0.89985,0.6511,1.0876,0.85928,1.40329,0.000577782,0.000577782,0.000577782
68,199.634,0.80389,0.68924,1.1127,0.76007,0.95291,0.89985,0.6511,1.0876,0.85928,1.40329,0.000561279,0.000561279,0.000561279
69,202.662,0.76804,0.55676,1.0186,0.73632,0.94174,0.88024,0.61654,1.10929,0.88978,1.42695,0.000544776,0.000544776,0.000544776
70,205.676,0.80517,0.6143,1.06765,0.76311,0.99259,0.89504,0.61465,1.18041,0.83588,1.49887,0.000528272,0.000528272,0.000528272
71,208.678,0.79545,0.6102,1.09917,0.80777,0.94944,0.91925,0.64574,1.16291,0.83893,1.49051,0.000511769,0.000511769,0.000511769
72,211.683,0.76393,0.62185,1.07593,0.77482,0.91667,0.92336,0.66632,1.12062,0.78889,1.44826,0.000495266,0.000495266,0.000495266
73,214.662,0.74953,0.60902,1.05739,0.77482,0.91667,0.92336,0.66632,1.12062,0.78889,1.44826,0.000478762,0.000478762,0.000478762
74,217.725,0.80705,0.62007,1.09914,0.81107,0.86759,0.89938,0.64265,1.11632,0.87995,1.45015,0.000462259,0.000462259,0.000462259
75,220.909,0.73328,0.56714,1.04077,0.81801,0.875,0.89055,0.61969,1.13282,0.89464,1.4322,0.000445756,0.000445756,0.000445756
76,223.908,0.76814,0.58366,1.05321,0.87331,0.875,0.89683,0.60469,1.15354,0.87996,1.42925,0.000429253,0.000429253,0.000429253
77,226.987,0.71959,0.55158,1.03161,0.82246,0.875,0.89082,0.62695,1.07284,0.80132,1.4017,0.000412749,0.000412749,0.000412749
78,230.125,0.72553,0.59343,1.05074,0.87932,0.9005,0.91438,0.65871,1.08683,0.73348,1.44691,0.000396246,0.000396246,0.000396246
79,233.196,0.72921,0.57131,1.01074,0.87932,0.9005,0.91438,0.65871,1.08683,0.73348,1.44691,0.000379743,0.000379743,0.000379743
80,236.293,0.7579,0.58945,1.03369,0.86882,0.91667,0.91244,0.67219,1.03081,0.72472,1.39941,0.000363239,0.000363239,0.000363239
81,239.546,0.67525,0.52638,0.98358,0.85775,0.9127,0.91536,0.66103,1.01028,0.73255,1.36387,0.000346736,0.000346736,0.000346736
82,242.603,0.69797,0.52333,0.97696,0.87996,0.91614,0.91558,0.66196,0.99512,0.73953,1.34347,0.000330233,0.000330233,0.000330233
83,245.694,0.67196,0.51206,0.98848,0.82393,0.91667,0.92283,0.67183,0.99831,0.75518,1.31995,0.000313729,0.000313729,0.000313729
84,248.905,0.70961,0.56028,1.05395,0.82393,0.91667,0.92283,0.67183,0.99831,0.75518,1.31995,0.000297226,0.000297226,0.000297226
85,252.01,0.67023,0.50156,0.97906,0.87534,0.87256,0.8892,0.65796,1.00277,0.79217,1.30603,0.000280723,0.000280723,0.000280723
86,255.088,0.70693,0.52976,0.98629,0.83213,0.86813,0.87564,0.62247,1.02118,0.78915,1.30833,0.00026422,0.00026422,0.00026422
87,258.192,0.68084,0.52907,0.97984,0.81605,0.875,0.87603,0.60968,1.02938,0.80916,1.30367,0.000247716,0.000247716,0.000247716
88,261.29,0.6766,0.4975,0.98056,0.82398,0.875,0.86345,0.62503,1.02298,0.80487,1.29243,0.000231213,0.000231213,0.000231213
89,264.335,0.67405,0.49347,0.98654,0.82398,0.875,0.86345,0.62503,1.02298,0.80487,1.29243,0.00021471,0.00021471,0.00021471
90,267.454,0.68447,0.54232,1.01577,0.8295,0.87378,0.86569,0.59794,1.0465,0.83298,1.31034,0.000198206,0.000198206,0.000198206
91,270.986,0.68021,0.51678,1.01299,0.79188,0.87125,0.85875,0.5877,1.0503,0.82819,1.31086,0.000181703,0.000181703,0.000181703
92,274.086,0.66108,0.4915,0.9919,0.78822,0.875,0.85714,0.57235,1.09157,0.87589,1.39098,0.0001652,0.0001652,0.0001652
93,277.218,0.65046,0.51466,0.96943,0.75525,0.91667,0.86206,0.57675,1.10613,0.84575,1.43321,0.000148696,0.000148696,0.000148696
94,280.343,0.59733,0.45954,0.9441,0.78113,0.91667,0.8601,0.58321,1.06576,0.86063,1.35695,0.000132193,0.000132193,0.000132193
95,283.435,0.65198,0.47277,0.99864,0.78113,0.91667,0.8601,0.58321,1.06576,0.86063,1.35695,0.00011569,0.00011569,0.00011569
96,286.556,0.65156,0.46068,0.9733,0.78164,0.91667,0.85891,0.57671,1.04963,0.86485,1.3344,9.91865e-05,9.91865e-05,9.91865e-05
97,289.575,0.59947,0.45643,0.91087,0.74996,0.91667,0.84208,0.59701,1.05622,0.87222,1.33306,8.26832e-05,8.26832e-05,8.26832e-05
98,292.698,0.60698,0.49226,0.95554,0.75147,0.91667,0.84104,0.5954,1.05954,0.88151,1.3396,6.61799e-05,6.61799e-05,6.61799e-05
99,295.821,0.60356,0.46569,0.98394,0.78557,0.91667,0.85652,0.59998,1.06682,0.87183,1.34701,4.96766e-05,4.96766e-05,4.96766e-05
100,298.879,0.5874,0.44305,0.93529,0.78557,0.91667,0.85652,0.59998,1.06682,0.87183,1.34701,3.31733e-05,3.31733e-05,3.31733e-05
